related_sector,secid
LED概念,90.BK0580
大盘成长,90.BK1665
MiniLED,90.BK0902
钙钛矿电池,90.BK1094
PVDF概念,90.BK1012
EDR概念,90.BK1049
固态电池,90.BK0968
工业母机,90.BK1004
胎压监测,90.BK0898
智能穿戴,90.BK0641
激光雷达,90.BK1002
光通信模块,90.BK1136
小米概念,90.BK0833
EDA概念,90.BK0946
HJT电池,90.BK0908
3D摄像头,90.BK0901
氮化镓,90.BK0916
科创板做市股,90.BK1108
百元股,90.BK1059
国产芯片,90.BK0891
PLC概念,90.BK1119
2026一季报扭亏,90.BK1682
消费电子概念,90.BK1646
电子后视镜,90.BK1125
MLOps概念,90.BK1132
AI眼镜,90.BK1178
英伟达概念,90.BK1161
OLED,90.BK0840
TOPCon电池,90.BK1097
苹果概念,90.BK0666
人形机器人,90.BK1184
BC电池,90.BK1148
PEEK材料概念,90.BK1156
减速器,90.BK1100
同步磁阻电机,90.BK1131
华为海思,90.BK1180
第三代半导体,90.BK0952
无线充电,90.BK0960
高压快充,90.BK1144
半导体概念,90.BK0917
纳米银,90.BK0855
荣耀概念,90.BK1177
无线耳机,90.BK0893
昨日触板,90.BK0817
光刻机(胶),90.BK0884
噪声防治,90.BK1082
AI芯片,90.BK1127
昨日炸板,90.BK1631
IGBT概念,90.BK1048
麒麟电池,90.BK1092
先进封装,90.BK1101
AIPC,90.BK1164
碳化硅,90.BK0977
PCB,90.BK0877
汽车芯片,90.BK0969
被动元件概念,90.BK0976
存储芯片,90.BK1137
中芯概念,90.BK0935
AI手机,90.BK1162
机器人执行器,90.BK1145
第四代半导体,90.BK1121
超级电容,90.BK0703
蓝宝石,90.BK0674
MLCC,90.BK0890
高带宽内存,90.BK1152
